Product,TITLE
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",A(offset)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",C(Bending length)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",D(Tail length)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",E(Total length)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",B(Tip length)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",J(Dim.)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",C+D(Bending+tail)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",B+C(Tip+Bending)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",straight X
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",G(angle)
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",H1 X
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",H2 X
"N6(A,N14)_2.5mil_Flat_Head_Uncoating_C(HT-B)_T1(REV.4)",H3 X
